X,Y,OBJECTID,Shape_Leng,Shape_Area,zone,LocationID,borough,Lat,Lng
1039607.037,195561.1974,130,0.14202832099999999,0.00046832300000000004,Jamaica,130,Queens,18.109581,-77.297508
1047623.9870000001,201824.8689,131,0.11654712099999999,0.000423696,Jamaica Estates,131,Queens,40.7195911,-73.7850426
1045786.1020000001,173472.4165,132,0.24547851699999998,0.002038301,JFK Airport,132,Queens,40.6413111,-73.77813909999999
991372.55,172223.4199,133,0.065134863,0.000157189,Kensington,133,Brooklyn,39.9817259,-75.1281195
1031383.547,197539.0295,134,0.06958782200000001,0.000202375,Kew Gardens,134,Queens,43.6701043,-79.29879969999999
1033033.8790000001,205069.2965,135,0.121793046,0.00046791199999999996,Kew Gardens Hills,135,Queens,40.73844709999999,-73.8104048
1010327.417,254362.6257,136,0.090628715,0.000148525,Kingsbridge Heights,136,Bronx,40.8776345,-73.9006631
990590.5190000001,209010.2761,137,0.04610762400000001,0.000116455,Kips Bay,137,Manhattan,40.74232920000001,-73.9800645
1019479.4720000001,221607.4718,138,0.107466934,0.000536797,LaGuardia Airport,138,Queens,40.7769271,-73.8739659
1055445.24,186303.0912,139,0.09329978800000001,0.00044667,Laurelton,139,Queens,40.67764,-73.7447853
996835.0322,218174.79,140,0.047584290999999994,0.00011420399999999999,Lenox Hill East,140,Manhattan,40.7662315,-73.9602312
995409.7018,218659.3837,141,0.041514464,7.670000000000001e-05,Lenox Hill West,141,Manhattan,40.7662315,-73.9602312
989414.8861,221232.1722,142,0.038175894,7.57e-05,Lincoln Square East,142,Manhattan,40.7741769,-73.98491179999999
987581.0756,221911.0505,143,0.054179854000000006,0.000151094,Lincoln Square West,143,Manhattan,40.7741769,-73.98491179999999
984968.8548,201803.7945,144,0.027620167,4.7499999999999996e-05,Little Italy/NoLiTa,144,Manhattan,40.7205409,-73.9966188
998464.7889,211283.6648,145,0.114313845,0.000346642,Long Island City/Hunters Point,145,Queens,40.7485587,-73.94964639999999
1002636.94,214178.8744,146,0.047140522000000004,0.000104639,Long Island City/Queens Plaza,146,Queens,40.7509846,-73.9402762
1012428.668,237749.6466,147,0.058765495,0.000106418,Longwood,147,Bronx,37.29717979999999,-78.3961973
986822.8784,201304.8683,148,0.039130502000000005,6.97e-05,Lower East Side,148,Manhattan,40.715033,-73.9842724
998557.1379999999,160266.0312,149,0.083680582,0.00027064,Madison,149,Brooklyn,43.0730517,-89.4012302
1000115.542,150686.8185,150,0.089331491,0.00033256800000000005,Manhattan Beach,150,Brooklyn,33.8847361,-118.4109089
993163.0124,229962.8097,151,0.054889941,0.000128849,Manhattan Valley,151,Manhattan,40.796989,-73.969707
996892.4997,237145.8587,152,0.057909477,0.000146638,Manhattanville,152,Manhattan,40.8169443,-73.9558333
1008845.682,258295.0956,153,0.024737238999999998,3.2500000000000004e-05,Marble Hill,153,Manhattan,40.8761173,-73.9102628
1013099.185,155382.6404,154,0.227331571,0.001789687,Marine Park/Floyd Bennett Field,154,Brooklyn,40.5910174,-73.89060909999999
1010132.947,164367.1802,155,0.16980847300000002,0.0008682610000000001,Marine Park/Mill Basin,155,Brooklyn,40.6173922,-73.9114225
938488.8473,168389.4267,156,0.14447689,0.001052122,Mariners Harbor,156,Staten Island,41.9181579,-73.98303829999999
1011434.314,203078.8231,157,0.131300218,0.00035437,Maspeth,157,Queens,40.7294018,-73.9065883
981926.0197,207147.39899999998,158,0.054809990999999995,0.000185568,Meatpacking/West Village West,158,Manhattan,40.7409865,-74.0076108
1008169.271,237402.9332,159,0.06436323299999999,0.00017124900000000003,Melrose South,159,Bronx,31.542261,-94.50082499999999
1017317.016,201069.3538,160,0.14151914300000001,0.000571235,Middle Village,160,Queens,40.717372,-73.87425
990502.2531,215519.8659,161,0.03580391,7.190000000000001e-05,Midtown Center,161,Manhattan,36.3731209,-94.21004690000001
991966.9406,215006.4597,162,0.035269815,4.79e-05,Midtown East,162,Manhattan,40.7571432,-73.9718815
990242.6227,217778.2895,163,0.034176867,4.09e-05,Midtown North,163,Manhattan,40.7649516,-73.9851039
988148.8157,212087.7944,164,0.035771612,5.56e-05,Midtown South,164,Manhattan,40.7549309,-73.9840195
996852.6555,165511.6453,165,0.088608036,0.000353959,Midwood,165,Brooklyn,40.6204388,-73.95997779999999
994820.4931,234227.6404,166,0.068823754,0.000255276,Morningside Heights,166,Manhattan,40.8089564,-73.96243270000001
1010695.3640000001,240950.0324,167,0.09081597400000001,0.000167529,Morrisania/Melrose,167,Bronx,40.824545,-73.9104143
1007211.151,233459.9183,168,0.114517434,0.000547058,Mott Haven/Port Morris,168,Bronx,40.8022025,-73.9166051
1010526.818,248647.1295,169,0.060104658,0.000146028,Mount Hope,169,Bronx,37.8686224,-97.665047
990638.9732,211668.1067,170,0.045769009000000006,7.43e-05,Murray Hill,170,Manhattan,40.7478792,-73.9756567
1037188.868,219481.4359,171,0.107353876,0.0005201,Murray Hill-Queens,171,Queens,40.7634996,-73.8073261
