year,month,Category,Trips Per Day,Vehicles Per Day,Avg Hours Per Day Per Driver,Avg Minutes Per Trip
2017,4,Taxi,370889,16032,6.85,13.4
2017,5,FHV,496689,53991,4.175000000000001,
2017,5,Taxi,360031,15899,6.75,14.05
2017,6,FHV,502007,55196,4.05,37.5
2017,6,Taxi,354421,15667,6.699999999999999,14.0
2017,7,FHV,496894,54747,3.975,35.75
2017,7,Taxi,306545,15046,6.6,13.35
2017,8,FHV,505592,55634,4.0,35.0
2017,8,Taxi,299652,14897,6.6,13.3
2017,9,FHV,547125,57804,4.15,35.5
2017,9,Taxi,327572,14836,6.800000000000001,14.05
2017,10,FHV,570838,60027,4.1499999999999995,36.0
2017,10,Taxi,344942,15321,6.800000000000001,14.100000000000001
2017,11,FHV,595409,60418,4.175,35.75
2017,11,Taxi,338607,15241,6.75,14.0
2017,12,FHV,636774,60856,4.25,35.5
2017,12,Taxi,335929,14943,6.8,13.75
2018,1,FHV,635840,59948,4.25,33.25
2018,1,Taxi,308129,14287,6.6,12.95
2018,2,FHV,683001,62476,4.3,33.0
2018,2,Taxi,330741,14593,6.85,13.0
2018,3,FHV,702608,62231,4.3,34.25
2018,3,Taxi,331136,14441,6.85,13.8
2018,4,FHV,693401,63005,4.2749999999999995,34.0
2018,4,Taxi,336811,14510,6.949999999999999,14.35
2018,5,FHV,696390,64022,4.325,36.5
2018,5,Taxi,323201,14345,6.800000000000001,15.2
2018,6,FHV,702516,64325,4.325,36.25
2018,6,Taxi,314972,14081,6.75,15.1
2018,7,FHV,691931,62101,4.2250000000000005,34.75
2018,7,Taxi,275234,13542,6.550000000000001,14.45
2018,8,FHV,705418,62697,4.25,34.5
2018,8,Taxi,274650,13301,6.65,14.55
2018,9,FHV,718725,63959,4.375,34.75
2018,9,Taxi,290176,13462,6.7,15.4
2018,10,FHV,747254,68237,4.35,36.25
2018,10,Taxi,307010,13947,6.75,15.75
2018,11,FHV,759997,68627,4.35,34.75
2018,11,Taxi,293359,13782,6.6,15.799999999999999
2018,12,FHV,769276,68027,4.3500000000000005,34.5
2018,12,Taxi,285692,13523,6.550000000000001,15.2
